Verb,Pronunciation,SinhalaMeanings,Usage
stink*,/stɪŋk/,අප්‍රසන්න ගඳක් විහිදුවනවා,~ (of something)
stir,/stɜː(r)/,"හැන්දෙන් කලතනවා/කලවම් කරනවා,
යන්තම් හෙලවෙනවා/හොලවනවා,
(හැඟීමක්) ඇවිස්සෙනවා/අවුස්සනවා","~ something
~ something (into something)
~ (someone/something)"
stop,/stɒp/,"නතර වෙනවා/කරනවා,
(යමක් කරන්නට) නතර වෙනවා","~ (someone/something)
~ doing something
~ for something
~ to do something"
store,/stɔː(r)/,ගබඩා කර තබා ගන්නවා,~ something (away/up)
strengthen,/ˈstreŋθn/,ශක්තිමත් වෙනවා/කරනවා,~ (someone/something)
stress,/stres/,"අවධාරණය කරනවා,
(යාන්ත්‍රික/කායික/මානසික) පීඩනයට හසු වෙනවා/කරනවා","~ something
~ that...
~ wh-
~ (someone) out"
stretch,/stretʃ/,"අදිනවා/ඇදෙනවා,
(අත) දිගු කරනවා,
විහිදෙනවා","~ (something)
~ (something) (adv./prep.)"
strike*,/straɪk/,"වැදෙනවා/වද්දනවා,
ගැටෙනවා/ගටනවා,
පහර දෙනවා etc.",~ someone/something
strive**,/straɪv/,"(වෙනුවෙන්/විරුද්ධව) තදින්ම මහන්සි වෙනවා,
උත්සාහ කරනවා","~ (for/against something)
~ to do something"
struggle,/ˈstrʌɡl/,(වෙනුවෙන්/විරුද්ධව/සමග) අරගල/සටන් කරනවා,"~ (for/against/with someone/something)
~ to do something"
study,/ˈstʌdi/,"අධ්‍යනය කරනවා,
හදාරනවා,
පාඩම් කරනවා","~ (something)
~ (for something)
~ (something) (at/under …)
~ to be/do something
~ wh-"
submerge,/səbˈmɜːdʒ/,"(දියරයක) ගිලෙනවා/ගිල්වනවා,
(හැඟීමක්/අදහසක්) සම්පූර්ණයෙන් යටපත් කරනවා",~ (something)
succeed,/səkˈsiːd/,"සාර්ථක වෙනවා/කරගන්නවා,
අනුපිළිවෙලින් (පදවියකට) පත් වෙනවා","~ in something
~ in doing something
~ as something
~ someone/something
~ to something"
suck,/sʌk/,"උරනවා,
උරා බොනවා,
(දියර/වායුව ආදිය) අදිනවා","~ something (adv./prep.)
~ (at/on) something"
suffer,/ˈsʌfə(r)/,(ලෙඩකින්/දුකකින්/හිඟකමකින් ආදියෙන්) විඳවනවා,"~ from something
~ for something
~ something"
suggest,/səˈdʒest/,"යෝජනා කරනවා,
හඟවනවා","~ something (to someone)
~ something (as something)
~ something (for something) ~ doing something
~ that...
~ wh-"
suit,/suːt/,"යෝග්‍ය වෙනවා,
(ඇඳුමක් වැන්නක්) ගැලපෙනවා",~ someone/something
sulk,/sʌlk/,බුම්මා ගන්නවා,
supply,/səˈplaɪ/,"සපයනවා,
ලබා දෙනවා","~ something (to someone/something)
~ someone/something (with something)"
